study,task,model,method,seeds,num_labels,accuracy_mean,precision_mean,recall_mean,f1_mean,f1_sd,f1_sd_exact_zero,constant_prediction_fingerprint,degenerate_stability,diagnosis
study2,finance_sentiment,vinai/bertweet-base,full_ft,5,3,0.81446280991735542,0.78964228281900006,0.760897237743558,0.76161952251532172,0.085155161067281201,False,False,False,non-zero seed variance
study2,finance_sentiment,vinai/bertweet-base,ia3,5,3,0.70785123966942154,0.66640267587876112,0.53586918173906906,0.55949457998932983,0.0117366355739815,False,False,False,non-zero seed variance
study2,finance_sentiment,vinai/bertweet-base,adapter,5,3,0.67024793388429749,0.4098117582218993,0.4440851950536312,0.41779148555194301,0.0043683809822851003,False,False,False,non-zero seed variance
study2,finance_sentiment,vinai/bertweet-base,bitfit,5,3,0.6673553719008265,0.40812339059320379,0.43859055817448928,0.4121198304306275,0.0088428084852794995,False,False,False,non-zero seed variance
study2,finance_sentiment,vinai/bertweet-base,lora,5,3,0.65867768595041321,0.39880785386599849,0.42726480836236941,0.39959344227561361,0.0042096678982287,False,False,False,non-zero seed variance
study2,movie_reviews,FacebookAI/roberta-base,full_ft,5,2,0.91080000000000005,0.91081558752129121,0.91080000000000005,0.91079915686075197,0.0013978099881969,False,False,False,non-zero seed variance
study2,movie_reviews,FacebookAI/roberta-base,adapter,5,2,0.90024800000000005,0.90028224020428649,0.90024800000000005,0.90024585992578054,0.00047342605524370001,False,False,False,non-zero seed variance
study2,movie_reviews,FacebookAI/roberta-base,lora,5,2,0.89960799999999996,0.8996246546900043,0.89960799999999996,0.89960695433791926,0.0010606954997008,False,False,False,non-zero seed variance
study2,movie_reviews,FacebookAI/roberta-base,bitfit,5,2,0.89036000000000004,0.89037902894789533,0.89036000000000004,0.89035867278548753,0.0008679451560127,False,False,False,non-zero seed variance
study2,movie_reviews,FacebookAI/roberta-base,ia3,5,2,0.87224800000000013,0.87228712522828356,0.87224800000000013,0.87224464007073332,0.00031172456698170002,False,False,False,non-zero seed variance
study2,movie_reviews,vinai/bertweet-base,full_ft,5,2,0.89544000000000001,0.89553270838632648,0.89544000000000001,0.89543367750155611,0.0019219033012109,False,False,False,non-zero seed variance
study2,movie_reviews,vinai/bertweet-base,adapter,5,2,0.88211200000000001,0.88214072348963035,0.88211200000000001,0.88210979016000457,0.00061961356891109996,False,False,False,non-zero seed variance
study2,movie_reviews,vinai/bertweet-base,lora,5,2,0.87551199999999996,0.87560154918690825,0.87551199999999996,0.87550461707756178,0.00077245102375289999,False,False,False,non-zero seed variance
study2,movie_reviews,vinai/bertweet-base,bitfit,5,2,0.86599999999999999,0.86613255199845918,0.86599999999999999,0.8659878823912539,0.0004977897835039,False,False,False,non-zero seed variance
study2,movie_reviews,vinai/bertweet-base,ia3,5,2,0.85790399999999989,0.85795134233491943,0.85790399999999989,0.85789930914111778,0.00067902831536449995,False,False,False,non-zero seed variance
study2,news_topic,FacebookAI/roberta-base,full_ft,5,4,0.95026315789473681,0.95035807574482656,0.95026315789473681,0.95024306930169078,0.0013775780712146999,False,False,False,non-zero seed variance
study2,news_topic,FacebookAI/roberta-base,adapter,5,4,0.9344473684210528,0.93468713209105458,0.93444736842105258,0.9343979665885882,0.00097180281326879998,False,False,False,non-zero seed variance
study2,news_topic,FacebookAI/roberta-base,lora,5,4,0.93202631578947359,0.93209275337572761,0.93202631578947359,0.93189427299900096,0.00044810913721100002,False,False,False,non-zero seed variance
study2,news_topic,FacebookAI/roberta-base,ia3,5,4,0.92444736842105257,0.92430852691113963,0.9244473684210528,0.9243111914875366,0.00094981527117970002,False,False,False,non-zero seed variance
study2,news_topic,FacebookAI/roberta-base,bitfit,5,4,0.92165789473684201,0.92166099292563164,0.92165789473684201,0.92143534246990122,0.00075798262488449997,False,False,False,non-zero seed variance
study2,news_topic,vinai/bertweet-base,full_ft,5,4,0.94444736842105237,0.94448844249403119,0.94444736842105281,0.94443789355986318,0.00077869788033870001,False,False,False,non-zero seed variance
study2,news_topic,vinai/bertweet-base,adapter,5,4,0.92718421052631561,0.92730314673447878,0.92718421052631561,0.92706227630831239,0.00068015242513190001,False,False,False,non-zero seed variance
study2,news_topic,vinai/bertweet-base,lora,5,4,0.92089473684210521,0.92092320167109276,0.92089473684210521,0.9206915021442964,0.0011706689789907001,False,False,False,non-zero seed variance
study2,news_topic,vinai/bertweet-base,ia3,5,4,0.91705263157894723,0.91697956767449185,0.91705263157894723,0.91689118036076678,0.0003348657542087,False,False,False,non-zero seed variance
study2,news_topic,vinai/bertweet-base,bitfit,5,4,0.91534210526315785,0.91538783975527083,0.91534210526315785,0.91518079206674796,0.0007537148757723,False,False,False,non-zero seed variance
study2,product_reviews,FacebookAI/roberta-base,full_ft,5,5,0.6100000000000001,0.60830519590361432,0.60999999999999999,0.60814383513587944,0.0020572675392756998,False,False,False,non-zero seed variance
study2,product_reviews,FacebookAI/roberta-base,adapter,5,5,0.59944000000000008,0.59544835453297451,0.59943999999999997,0.59631599347325792,0.0023915681112475998,False,False,False,non-zero seed variance
study2,product_reviews,FacebookAI/roberta-base,lora,5,5,0.59148000000000001,0.58623388290184741,0.59148000000000001,0.58744624756852704,0.0030495416281957001,False,False,False,non-zero seed variance
study2,product_reviews,FacebookAI/roberta-base,bitfit,5,5,0.58699999999999997,0.58075959921674492,0.58699999999999997,0.58231151444572404,0.00087360522998720003,False,False,False,non-zero seed variance
study2,product_reviews,FacebookAI/roberta-base,ia3,5,5,0.58716000000000002,0.57968721434434411,0.5871599999999999,0.58184636770377507,0.00092463023313670001,False,False,False,non-zero seed variance
study2,product_reviews,vinai/bertweet-base,full_ft,5,5,0.61040000000000005,0.60953725865571373,0.61040000000000005,0.60877522771331716,0.0020678472978967999,False,False,False,non-zero seed variance
study2,product_reviews,vinai/bertweet-base,adapter,5,5,0.58919999999999995,0.58458667220788774,0.58919999999999995,0.58570883614074576,0.0020348563055570998,False,False,False,non-zero seed variance
study2,product_reviews,vinai/bertweet-base,lora,5,5,0.58548,0.58006859848561398,0.58548,0.58169217972741616,0.0028279680073856001,False,False,False,non-zero seed variance
study2,product_reviews,vinai/bertweet-base,ia3,5,5,0.57848000000000011,0.57131499767636207,0.57847999999999999,0.57324754857449989,0.0011271248797821,False,False,False,non-zero seed variance
study2,product_reviews,vinai/bertweet-base,bitfit,5,5,0.57528000000000001,0.56814238132722816,0.57528000000000001,0.57025227003699908,0.0014154988920101,False,False,False,non-zero seed variance
study2,tweet_emotion,FacebookAI/roberta-base,full_ft,5,4,0.7783251231527093,0.76250043925235345,0.69182170825448375,0.70808131119620499,0.023669614486523698,False,False,False,non-zero seed variance
study2,tweet_emotion,FacebookAI/roberta-base,ia3,5,4,0.46615059817030258,0.51427291979931888,0.3202196602462109,0.25614928008699001,0.0252944225092398,False,False,False,non-zero seed variance
study2,tweet_emotion,FacebookAI/roberta-base,lora,5,4,0.42223786066150593,0.27213822280276168,0.2780804280988739,0.1886372090983775,0.070591655129385006,False,False,False,non-zero seed variance
study2,tweet_emotion,FacebookAI/roberta-base,adapter,5,4,0.3936664320900774,0.13718433777079581,0.25091623036649208,0.14289938888821929,0.0042912286885244998,False,False,False,non-zero seed variance
study2,tweet_emotion,FacebookAI/roberta-base,bitfit,5,4,0.39268121041520049,0.098170302603800094,0.25,0.14098029307731169,0,True,True,True,aggregate fingerprint consistent with constant-class collapse
study2,tweet_emotion,vinai/bertweet-base,full_ft,5,4,0.75496129486277275,0.77562034172782734,0.65251450382758003,0.66431381107767373,0.044401503187495701,False,False,False,non-zero seed variance
study2,tweet_emotion,vinai/bertweet-base,ia3,5,4,0.52512315270935961,0.63496225572752285,0.3846786859496632,0.34844396575924608,0.0054553190750513004,False,False,False,non-zero seed variance
study2,tweet_emotion,vinai/bertweet-base,adapter,5,4,0.39915552427867701,0.22573528197949311,0.25602094240837692,0.15327350154055569,0.012282160265117401,False,False,False,non-zero seed variance
study2,tweet_emotion,vinai/bertweet-base,bitfit,5,4,0.3946516537649542,0.1850593732055941,0.25183246073298432,0.1447938168732491,0.0055507295198262002,False,False,False,non-zero seed variance
study2,tweet_emotion,vinai/bertweet-base,lora,5,4,0.39268121041520049,0.098170302603800094,0.25,0.14098029307731169,0,True,True,True,aggregate fingerprint consistent with constant-class collapse
study2,tweet_hate,FacebookAI/roberta-base,ia3,5,2,0.57979797979797976,0.63527973880991451,0.61490532493760852,0.57265176850868094,0.0108595576281569,False,False,False,non-zero seed variance
study2,tweet_hate,FacebookAI/roberta-base,bitfit,5,2,0.55346801346801344,0.62800365308058892,0.59621932033310154,0.53857058706941019,0.0146985445179308,False,False,False,non-zero seed variance
study2,tweet_hate,FacebookAI/roberta-base,lora,5,2,0.54969696969696968,0.6578576792267683,0.60047746655409551,0.52460954132278692,0.0095984137586932004,False,False,False,non-zero seed variance
study2,tweet_hate,FacebookAI/roberta-base,adapter,5,2,0.52154882154882154,0.6379066808127416,0.57655848430636714,0.48674552677163591,0.0096434346138611002,False,False,False,non-zero seed variance
study2,tweet_hate,FacebookAI/roberta-base,full_ft,5,2,0.48525252525252521,0.6530661508866441,0.5509910104252288,0.42123789159030378,0.0080302508055460006,False,False,False,non-zero seed variance
study2,tweet_hate,vinai/bertweet-base,ia3,5,2,0.54936026936026938,0.62032744502399439,0.59147710578092505,0.53490835282495475,0.0096382947368524995,False,False,False,non-zero seed variance
study2,tweet_hate,vinai/bertweet-base,full_ft,5,2,0.5569023569023569,0.68763089197608429,0.61075699137491779,0.52784309872367163,0.017453074475941799,False,False,False,non-zero seed variance
study2,tweet_hate,vinai/bertweet-base,lora,5,2,0.54107744107744105,0.64930931610118225,0.59263697292713502,0.51407530586044137,0.0045950870929002997,False,False,False,non-zero seed variance
study2,tweet_hate,vinai/bertweet-base,bitfit,5,2,0.5379124579124579,0.635910567021854,0.58777806499124097,0.51311747783523098,0.0032997333692176998,False,False,False,non-zero seed variance
study2,tweet_hate,vinai/bertweet-base,adapter,5,2,0.5127272727272727,0.64789264684450676,0.57151147221488696,0.46962804999915658,0.0057898756163911004,False,False,False,non-zero seed variance
study2,tweet_irony,FacebookAI/roberta-base,full_ft,5,2,0.61045918367346941,0.60307187706804721,0.60591490316308982,0.60047053633554193,0.026428590522709801,False,False,False,non-zero seed variance
study2,tweet_irony,FacebookAI/roberta-base,bitfit,5,2,0.56122448979591844,0.55333966100979171,0.55442920946547658,0.5492372095368715,0.013260627898248899,False,False,False,non-zero seed variance
study2,tweet_irony,FacebookAI/roberta-base,ia3,5,2,0.57372448979591839,0.54982398945070776,0.54871008748971806,0.54817537872008937,0.0170990176949425,False,False,False,non-zero seed variance
study2,tweet_irony,FacebookAI/roberta-base,lora,5,2,0.5535714285714286,0.54987435779460547,0.54830696858663663,0.5338859714296762,0.0312455034776195,False,False,False,non-zero seed variance
study2,tweet_irony,FacebookAI/roberta-base,adapter,5,2,0.55816326530612248,0.53089989158556716,0.53008708184061504,0.52877965076275957,0.021330053984883399,False,False,False,non-zero seed variance
study2,tweet_irony,vinai/bertweet-base,full_ft,5,2,0.73698979591836733,0.75634367411112957,0.76242700692711907,0.73659372003461188,0.022626444248161501,False,False,False,non-zero seed variance
study2,tweet_irony,vinai/bertweet-base,ia3,5,2,0.60943877551020409,0.64889947967086514,0.6437237853748734,0.60875412215051061,0.0170536166337057,False,False,False,non-zero seed variance
study2,tweet_irony,vinai/bertweet-base,bitfit,5,2,0.59438775510204089,0.62320849247036159,0.62221980517052677,0.5938058770469562,0.0242449885636641,False,False,False,non-zero seed variance
study2,tweet_irony,vinai/bertweet-base,adapter,5,2,0.59132653061224494,0.63321984645429974,0.62673093002861946,0.58987590801739997,0.0223190841473986,False,False,False,non-zero seed variance
study2,tweet_irony,vinai/bertweet-base,lora,5,2,0.56785714285714284,0.62243678832110372,0.61047429352222582,0.56491253118914919,0.010221557628449,False,False,False,non-zero seed variance
study2,tweet_offensive,FacebookAI/roberta-base,full_ft,5,2,0.84302325581395343,0.80980729728047451,0.79408602150537644,0.80026255708228722,0.0059882359711262998,False,False,False,non-zero seed variance
study2,tweet_offensive,FacebookAI/roberta-base,adapter,5,2,0.83720930232558144,0.81071337328505477,0.76604838709677414,0.7830330448745062,0.0032122935264900002,False,False,False,non-zero seed variance
study2,tweet_offensive,FacebookAI/roberta-base,lora,5,2,0.83813953488372095,0.8146898045439197,0.76337365591397854,0.78225648104228063,0.0053338694655531002,False,False,False,non-zero seed variance
study2,tweet_offensive,FacebookAI/roberta-base,bitfit,5,2,0.82116279069767439,0.81722713531801572,0.71303763440860224,0.73949073920680708,0.0057593748800288998,False,False,False,non-zero seed variance
study2,tweet_offensive,FacebookAI/roberta-base,ia3,5,2,0.80511627906976746,0.76907271078734163,0.72540322580645156,0.7386745299986397,0.0098086303867824,False,False,False,non-zero seed variance
study2,tweet_offensive,vinai/bertweet-base,full_ft,5,2,0.84697674418604652,0.81344896393989286,0.79861559139784943,0.80538316602205295,0.0041591669788765004,False,False,False,non-zero seed variance
study2,tweet_offensive,vinai/bertweet-base,adapter,5,2,0.84465116279069774,0.82112370610772722,0.77580645161290318,0.79315279260267479,0.0068725255769910999,False,False,False,non-zero seed variance
study2,tweet_offensive,vinai/bertweet-base,lora,5,2,0.82488372093023266,0.80363000080776781,0.73528225806451619,0.75722783844930464,0.0099628976242381005,False,False,False,non-zero seed variance
study2,tweet_offensive,vinai/bertweet-base,bitfit,5,2,0.81325581395348845,0.78031273477835583,0.7305376344086022,0.74746350192291977,0.0048607497733033,False,False,False,non-zero seed variance
study2,tweet_offensive,vinai/bertweet-base,ia3,5,2,0.77720930232558139,0.72784508537363679,0.72826612903225807,0.7256203127107913,0.0101554102176287,False,False,False,non-zero seed variance
study2,tweet_sentiment,FacebookAI/roberta-base,full_ft,5,3,0.70926408336046887,0.69949645174272113,0.73347479711686936,0.71062536973444168,0.0013579710622420001,False,False,False,non-zero seed variance
study2,tweet_sentiment,FacebookAI/roberta-base,lora,5,3,0.70779876261803976,0.6985052041873161,0.72760405161244179,0.70848068286698507,0.0021971514422488999,False,False,False,non-zero seed variance
study2,tweet_sentiment,FacebookAI/roberta-base,adapter,5,3,0.70674047541517415,0.697239063001452,0.72910426692868535,0.70765277428002737,0.0031294633289034,False,False,False,non-zero seed variance
study2,tweet_sentiment,FacebookAI/roberta-base,bitfit,5,3,0.70187235428199279,0.69336684384079761,0.71728960119308605,0.70247185282185476,0.0037137852833833002,False,False,False,non-zero seed variance
study2,tweet_sentiment,FacebookAI/roberta-base,ia3,5,3,0.69226636274829045,0.68105080293940945,0.70795199191696556,0.69119476653108758,0.00078687947226349999,False,False,False,non-zero seed variance
study2,tweet_sentiment,vinai/bertweet-base,full_ft,5,3,0.72365678931943989,0.71758481989081468,0.73896201373230608,0.72468685249629206,0.0013516096062269,False,False,False,non-zero seed variance
study2,tweet_sentiment,vinai/bertweet-base,adapter,5,3,0.71033865190491696,0.70404800252230504,0.72738931484604175,0.71038340117352783,0.0019583561602561001,False,False,False,non-zero seed variance
study2,tweet_sentiment,vinai/bertweet-base,lora,5,3,0.71055030934549002,0.70153429340984019,0.72156717725299591,0.70918208304349628,0.0029399516855237,False,False,False,non-zero seed variance
study2,tweet_sentiment,vinai/bertweet-base,bitfit,5,3,0.7065288179746011,0.6984068469047322,0.71608851028054432,0.70519888956164234,0.00091833801307019997,False,False,False,non-zero seed variance
study2,tweet_sentiment,vinai/bertweet-base,ia3,5,3,0.68936828394659722,0.68039820032496934,0.69701373464325189,0.68738634798609077,0.0022468498708825002,False,False,False,non-zero seed variance
study3,comment_kmhas_binary,klue/roberta-base,full_ft,5,2,0.88803500615342534,0.88723736217035898,0.88767907706723981,0.88742812450185249,0.0024354325666588001,False,False,False,non-zero seed variance
study3,comment_kmhas_binary,klue/roberta-base,adapter,5,2,0.87331236610602114,0.87232155335880512,0.87351179199299589,0.87277266823133637,0.0011940095491994999,False,False,False,non-zero seed variance
study3,comment_kmhas_binary,klue/roberta-base,lora,5,2,0.86721363781393868,0.86626632927585479,0.86682867607493397,0.86651934617898141,0.0010831268299512,False,False,False,non-zero seed variance
study3,comment_kmhas_binary,klue/roberta-base,bitfit,5,2,0.84818815807466164,0.84760443814491759,0.84665643549092096,0.84707364463545021,0.0004826373447762,False,False,False,non-zero seed variance
study3,comment_kmhas_binary,klue/roberta-base,ia3,5,2,0.84549888326724099,0.84545977285182194,0.84326129679316519,0.84411549872660063,0.0011479412896425001,False,False,False,non-zero seed variance
study3,movie_nsmc,klue/roberta-base,full_ft,5,2,0.90961857711462679,0.90971818381441538,0.90958031964288621,0.90960361344379836,0.00059023315051589999,False,False,False,non-zero seed variance
study3,movie_nsmc,klue/roberta-base,adapter,5,2,0.90178210692641558,0.90191195174446004,0.90172285564163202,0.90176052120200523,0.00063838905800309999,False,False,False,non-zero seed variance
study3,movie_nsmc,klue/roberta-base,lora,5,2,0.89551373082384944,0.89564509069298137,0.89545315968046268,0.89549031936082513,0.0026406590812496,False,False,False,non-zero seed variance
study3,movie_nsmc,klue/roberta-base,ia3,5,2,0.88181690901454091,0.88182442016099483,0.88180034994217249,0.88180813188845009,0.0003507575883816,False,False,False,non-zero seed variance
study3,movie_nsmc,klue/roberta-base,bitfit,5,2,0.88119287157229442,0.88129117061293483,0.88113807798115329,0.88116944527429142,0.0001927238068943,False,False,False,non-zero seed variance
study3,news_ynat,klue/roberta-base,adapter,5,7,0.87064895135609977,0.86056405123663304,0.88104331065003139,0.87022204021368454,0.00074505947932059999,False,False,False,non-zero seed variance
study3,news_ynat,klue/roberta-base,full_ft,5,7,0.86858460524870973,0.8616599161288917,0.87274070188338482,0.86658984269225348,0.0023772127121698002,False,False,False,non-zero seed variance
study3,news_ynat,klue/roberta-base,lora,5,7,0.8652245525420007,0.85140037038870209,0.87890782299331549,0.864240908773936,0.0018362949841748001,False,False,False,non-zero seed variance
study3,news_ynat,klue/roberta-base,bitfit,5,7,0.85907543647743501,0.84635256521250601,0.87185197089271571,0.85831878266125261,0.0011513260015583999,False,False,False,non-zero seed variance
study3,news_ynat,klue/roberta-base,ia3,5,7,0.85635225650598445,0.84329127784272573,0.86963487361092984,0.855421995630263,0.0028670458002381001,False,False,False,non-zero seed variance
